,title,link,image,author,price,discount,publisher,pubdate,isbn,description
0,혼자 공부하는 파이썬 파이썬 최신 버전 반영 ,http://book.naver.com/bookdb/book_detail.php?bid=15028688,https://bookthumb-phinf.pstatic.net/cover/150/286/15028688.jpg?type=m1&udate=20210127,윤인성,18000,16200,한빛미디어,20190610,1162241888 9791162241882,1 1 과외하듯 배우는 파이썬 프로그래밍 자습서 파이썬 최신 버전 반영 27명의 베타리더 검증으로 함께 만든 입문자 맞춤형 도서이 책은 독학으로 프로그래밍 언어를 처음 배우려는 입문자가 혹은 파이썬을 배우려는 입문자가 꼭 필요한 내용을 제대로 학습할 수 있도록 구성했다 무엇을 
1,Do it 점프 투 파이썬,http://book.naver.com/bookdb/book_detail.php?bid=15052904,https://bookthumb-phinf.pstatic.net/cover/150/529/15052904.jpg?type=m1&udate=20200910,박응용,18800,16920,이지스퍼블리싱,20190620,1163030910 9791163030911,파이썬 4년 연속 베스트셀러 1위 DO IT 점프 투 파이썬 전면 개정판 출시 문과생도 중고등학생도 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 점프 투 파이썬 으로 출간되었던 이 책은 약 4년 동안의 피드백을 반영하여 초보자가 더 빠르게 입문하고 더 깊이 있게 공부할 수 있도록 개정되었다 
2,파이썬 알고리즘 인터뷰 95가지 알고리즘 문제 풀이로 완성하는 코딩 테스트 ,http://book.naver.com/bookdb/book_detail.php?bid=16406247,https://bookthumb-phinf.pstatic.net/cover/164/062/16406247.jpg?type=m1&udate=20201028,박상길,38000,34200,책만,20200715,1189909170 9791189909178,물론 파이썬으로 구현하는 코드 풀이를 통해 성능 최적화 기법 파이썬의 핵심 문법과 다양한 실용 테크닉까지 배울 수 있는 초보 개발자와 숙련 개발자 이 책은 현업과 실무에 유용한 주요 알고리즘 이론을 깊숙이 이해하고 파이썬의 핵심 기능과 문법까지 상세하게 이해할 수 있는 취업용 코딩 테스트를 
3,파이썬 데이터 과학 통계 학습 Python Data Science Statistical Learning ,http://book.naver.com/bookdb/book_detail.php?bid=20578051,https://bookthumb-phinf.pstatic.net/cover/205/780/20578051.jpg?type=m1&udate=20210528,황본현우|정지현,29000,26100,정보문화사,20210525,8956749078 9788956749075,파이썬으로 데이터 과학 완전 정복 이 책에서는 데이터 과학 데이터 분석을 위한 가장 보편적인 프로그래밍 언어인 파이썬을 다룬다 파이썬의 설치 방법과 기본적인 지식부터 차근차근 설명해나간다 자료형 변수 예약어 식별자 리터럴 상수 등 파이썬의 기초부터 넘파이 판다스 사이파이 사이킷런 등 
4,모두의 파이썬 20일 만에 배우는 프로그래밍 기초 ,http://book.naver.com/bookdb/book_detail.php?bid=14126163,https://bookthumb-phinf.pstatic.net/cover/141/261/14126163.jpg?type=m1&udate=20210210,이승찬,12000,10800,길벗,20181009,1160505853 9791160505856,파이썬 분야 어린이 코딩 교육 분야 2년 연속 베스트셀러 개정판 출간 즐겁게 시작하는 나의 첫 프로그래밍 프로그래밍을 한 번도 해본 적이 없어도 괜찮다 파이썬이 무엇인지 몰라도 상관 없다 어느새 파이썬 프로그램으로 멋진 그림을 그리고 계산을 하고 간단한 게임을 만들고 수학 문제를 
5,선형대수와 통계학으로 배우는 머신러닝 with 파이썬 선형대수와 통계학으로 배우는 머신러닝 with 파이썬 ,http://book.naver.com/bookdb/book_detail.php?bid=17853038,https://bookthumb-phinf.pstatic.net/cover/178/530/17853038.jpg?type=m1&udate=20210416,장철원,37500,33750,비제이퍼블릭,20210126,1165920395 9791165920395,머신러닝에 필요한 선형대수 통계학 최적화 이론부터 파이썬 사이킷런 텐서플로를 활용한 실습까지 선형대수와 통계학으로 배우는 머신러닝 with 파이썬 은 머신러닝의 기본적인 사용 방법뿐만 아니라 통계학 선형대수 최적화 이론 등 머신러닝에 필요한 배경 이론까지 다룬다 머신러닝 알고리즘을 
6,컴퓨팅 사고와 파이썬 문제해결을 위한 ,http://book.naver.com/bookdb/book_detail.php?bid=20581232,https://bookthumb-phinf.pstatic.net/cover/205/812/20581232.jpg?type=m1&udate=20210602,김지연,24000,21600,한빛아카데미(교재),20210531,1156645379 9791156645375,컴퓨팅 사고의 개념을 이해하고 파이썬을 활용하여 문제를 해결한다 이 책은 크고 작은 여러 가지 유형의 문제를 해결하는 과정을 통해 컴퓨팅 사고를 향상한다 또한 프로그래밍을 처음 접할 때에도 쉽게 익힐 수 있는 파이썬을 사용하여 프로그래밍의 기본기를 다진다 나아가 GUI 프로그래밍 데이터 
7,머신 러닝 교과서 with 파이썬 사이킷런 텐서플로 최신 넘파이 사이킷런 텐서플로 2로 배우는 머신 러닝 딥러닝 핵심 알고 ,http://book.naver.com/bookdb/book_detail.php?bid=18829375,https://bookthumb-phinf.pstatic.net/cover/188/293/18829375.jpg?type=m1&udate=20210429,세바스찬 라시카|바히드 미자리리,44000,39600,길벗,20210331,1165215187 9791165215187,파이썬 언어와 파이썬 기반의 머신 러닝 핵심 라이브러리 SciPy NumPy scikit learn Matplotlib Pandas 를 사용해 머신 러닝을 텐서플로 TensorFlow 2 를 사용해 딥러닝을 실습해본다 특히 딥러닝은 최신 텐서플로 2에 맞춰 대폭 수정 및 보강되었다 그러고 나서 GAN과 강화 학습도 자세하게 다룬다 머신 러닝과 
8,파이썬 챌린지 150개의 코딩 과제로 배운다 ,http://book.naver.com/bookdb/book_detail.php?bid=20477376,https://bookthumb-phinf.pstatic.net/cover/204/773/20477376.jpg?type=m1&udate=20210514,니콜라 레이시 지음|황반석,11200,10080,제이펍,20210512,1191600017 9791191600018,150개의 챌린지 코딩 과제 로 배우는 파이썬 코딩 영국의 캠브리지 대학교에서 출판한 이 책은 핵심 위주의 문법 설명 그리고 그 문법 이해를 도와주는 간결한 예제 이어서 독자들의 도전 의식을 자극하는 150개의 코딩 챌린지 도전 과제 가 이어지는 구성을 취하고 있습니다 난이도가 점차 높아지는 150개의 
9,이것이 취업을 위한 코딩 테스트다 with 파이썬 취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드 C C 자바 코드 제공 ,http://book.naver.com/bookdb/book_detail.php?bid=16439154,https://bookthumb-phinf.pstatic.net/cover/164/391/16439154.jpg?type=m1&udate=20200928,나동빈,34000,30600,한빛미디어,20200805,1162243074 9791162243077,8가지 핵심 알고리즘 이론을 쉽게 설명하고 관련 실전 문제를 풀이했다 출제 유형 분석 이론 설명 기출문제 풀이까지 어떤 코딩 테스트도 이 책 한 권으로 대비할 수 있을 것이다 코딩 테스트에서 주로 선택하는 파이썬을 기반으로 설명되어 있으며 파이썬 코드 외에도 C C 자바 코드를 추가로 제공한다 
