단어,주요뜻,메모,암기여부,저장날짜
fish,물고기|어류|생선|어업의|고기잡이하다,"1)생선
",미암기,2013-03-30 09:41:09
port,항만|항구|포트|...항,"1)항구
",미암기,2013-02-23 09:34:19
boat,배|보트,"1)보트
",미암기,2013-02-23 09:32:54
beach,해변|바닷가|해수욕장|백사장|호숫가,"1)해변, 해수욕장
",미암기,2013-01-26 10:00:50
warship,군함|전함,"1)군함
",미암기,2012-12-22 10:08:52
shellfish,조개|갑각강의 동물|거북복,"1)조개
",미암기,2012-09-01 10:07:13
turtle,거북|자라,"1)바다거북
",미암기,2012-08-04 07:54:52
island,도|섬|아일랜드,"1)섬
",미암기,2012-07-21 08:23:44
ocean,바다|해양|대양,"1)대양
",미암기,2012-07-13 12:45:36
dolphin,돌고래,"1)돌고래
",미암기,2012-07-07 08:43:02
whale,고래|즐거운|열심인,"1)고래
",미암기,2012-06-30 08:03:15
shrimp,작은 새우|작은 새우를 잡다|작은 새우로 만든,"1)새우
",미암기,2012-06-24 12:52:30
lobster,바닷가재|랍스터|얼굴이 붉은 사람,"1)바닷가재
",미암기,2012-06-17 13:28:41
railroad,철도,"1)철도
",미암기,2012-06-14 08:51:32
cabin,객실|오두막,"1)오두막집
",미암기,2012-06-06 09:04:44
forest,숲|산림|삼림,"1)숲
",미암기,2012-05-30 17:52:02
Give me a break!,,,미암기,2012-05-21 16:25:20
I see.,,,미암기,2012-05-21 16:23:50
that’s why!,,,미암기,2012-05-21 16:21:22
get in touch with,,,미암기,2012-05-21 16:21:05
a lot of,,,미암기,2012-05-21 16:20:41
keep your chin up,,,미암기,2012-05-21 16:20:02
lake,호수|연못,"1)호수
",미암기,2012-05-18 09:09:48
be absent from,,"1)While I welcomed the opportunity to speak at your conference, I was required to absent myself from my duties here for a number of days. 제가 학회에서 강연하는 것을 받아들였기 때문에 며칠간 이 곳 업무를 볼 수 없었습니다.


",미암기,2012-05-17 18:11:17
tone deaf,,,미암기,2012-05-17 18:11:09
school time,,,미암기,2012-05-17 18:10:59
head down,,"1)He did not speak a word with his head down. 
그는 머리를 숙이고 아무 말도 하지 않았습니다.
",미암기,2012-05-17 18:10:49
have~ in common,,"1)Even though animals seem different, they all have these three things in common. 
비록 동물들이 서로 다르게 보이지만, 그들은 세 가지 공통점을 가지고 있습니다.
",미암기,2012-05-17 18:10:26
satisfy with,,,미암기,2012-05-17 18:10:11
be nervous about,,"1)Are you nervous about your presentation this afternoon? 
오늘 오후에 발표하는 것 때문에 걱정돼요?
",미암기,2012-05-17 18:09:59
just a little,"살짝, 조금만","1)Because the mechanism is made from plastic, there is the danger of parts cracking if tightened just a little too far. 기구가 플라스틱으로 만들어졌기 때문에 너무 단단하게 조이면 부품들이 부숴질 가능성이 있습니다.

",미암기,2012-05-17 18:09:51
stay in touch,"계속 연락하고 지내다, 소식을 주고받다","1)I'm wondering if it wouldn't make sense to implement a telecommuting program, where we have some of our people working at home, submitting work assignments and staying in touch with the office using e-mail and the Internet. 저는 일부 직원들이 집에서 일하면서 작업분을 제출하고 이메일과 인터넷으로 사무실과 연락을 취하는 재택 근무 제도를 실시하는 것이 어떨까 합니다.

",미암기,2012-05-17 18:09:43
seem like,…처럼 보이다.,"1)It seems like they're coming to work on that construction earlier and earlier every week. 
공사 시작하는 시간이 매주 점점 더 빨라지고 있는 것 같아요.

",미암기,2012-05-17 18:09:28
be about to,막~하려하다; [부정문]~할 생각은 없다,"1)The film is about to begin. 영화가 막 시작하려 하고 있다.
",미암기,2012-05-17 18:09:15
wedding preparation,결혼 준비,,미암기,2012-05-17 18:09:07
be supposed to,[관습·법·의무로] …하기로 되어 있다,"1)My name is Mike Smith. The cards were supposed to be printed in English and Japanese. 
마크 스미스이고 명함은 영어와 일어로 인쇄하도록 되어 있었습니다.

",미암기,2012-05-17 18:08:54
Have you been to,∼에 간[경험]적이 있다.,"1)Have you been to the department store? They're having a big sale this week. 
백화점에 가 봤어요? 이번 주에 대대적인 세일을 하고 있어요.

",미암기,2012-05-17 18:08:04
lose weight,몸무게를 줄이다,"1)몸무게를 줄이다
",미암기,2012-05-17 18:07:51
have a headache,두통이 있다,"1)두통
",미암기,2012-05-17 18:07:40
